# initial_x = 1
x,y
1.27798,0.043112
1.5385,1.61868
1.52015,-1.20573
1.27519,-0.038002
1.51607,1.83774
1.51816,-1.10889
1.28199,0.017691
1.52696,1.6387
1.50823,-1.35157
1.28162,0.124697
1.53417,1.56841
1.50405,-1.40779
1.2825,0.157002
1.53779,1.52452
1.49908,-1.45531
1.28263,0.248813
1.54293,1.44526
1.48805,-1.54886
1.28703,0.392274
1.55115,1.34083
1.47859,-1.63158
1.2888,0.488346
1.5551,1.3784
1.49722,-1.50688
1.27831,0.1591
1.54007,1.56614
1.52003,-1.25741
1.27565,0.0242969
1.53231,1.70879
1.524,-1.10665
1.27688,-0.0431178
1.53047,1.72721
1.52113,-1.11105
1.27981,0.00243146
1.53686,1.61408
1.51793,-1.23382
1.27716,0.012601
1.52039,1.76439
1.52047,-1.1716
1.2758,-0.0509888
1.51697,1.8267
1.51752,-1.12317
1.28155,0.0116885
1.52742,1.64429
1.50907,-1.33899
1.28051,0.0934385
1.53281,1.6036
1.50839,-1.35776
1.27813,0.106974
1.53198,1.64026
1.51246,-1.30144
1.27561,0.0167404
1.52613,1.75677
1.5153,-1.17589
1.2782,-0.0145476
1.52744,1.7197
1.51309,-1.22896
1.27739,-0.00810017
1.52908,1.71747
1.52426,-1.11461
1.2774,-0.0187425
1.53014,1.71312
1.52312,-1.12059
1.27778,-0.0171147
1.53221,1.69069
1.52208,-1.1434
1.27721,-0.0232214
1.53321,1.69401
1.52118,-1.13785
1.27776,-0.0246678
1.51788,1.78394
1.52001,-1.16309
1.2772,-0.0292105
1.51896,1.78609
1.51914,-1.15862
1.27765,-0.0317954
1.52094,1.766
1.51795,-1.18065
1.27721,-0.0356988
1.52216,1.76493
1.51705,-1.17976
1.27772,-0.00157079
1.524,1.74762
1.51587,-1.1983
1.27743,-0.00529385
1.52532,1.74385
1.51492,-1.20047
1.27766,-0.00828566
1.52704,1.7286
1.51375,-1.21633
1.27745,-0.0118622
1.52842,1.72288
1.52442,-1.11059
1.27761,-0.0149384
1.53007,1.70905
1.52339,-1.12493
1.27745,-0.0184251
1.53148,1.70195
1.52242,-1.13112
1.27756,-0.02156
1.53307,1.68907
1.52138,-1.14412
1.27743,-0.0249858
1.51712,1.79424
1.52039,-1.15132
1.2775,-0.0281634
1.51878,1.78259
1.51934,-1.16337
1.2774,-0.0315462
1.5203,1.7743
1.51832,-1.17126
1.27743,-0.0347544
1.52192,1.76307
1.51726,-1.1826
1.27734,-0.0381064
1.52344,1.75424
1.51622,-1.19096
1.27758,-0.00432043
1.52503,1.74328
1.51514,-1.20179
1.27754,-0.00766596
1.52654,1.73404
1.51409,-1.21047
1.27756,-0.0109087
1.5281,1.72324
1.51299,-1.22091
1.27752,-0.0142367
1.52961,1.71368
1.52367,-1.11998
1.27753,-0.0174927
1.53114,1.70298
1.52266,-1.1305
1.2775,-0.0208081
1.53264,1.69315
1.52166,-1.13988
1.27749,-0.0240729
1.53415,1.68249
1.52064,-1.15017
1.27746,-0.027379
1.51833,1.78613
1.51962,-1.15963
1.27744,-0.0306496
1.51992,1.77603
1.51858,-1.16973
1.2774,-0.0339486
